,clip,trial,timestamp,outcome,fullOutcome,fullOutcomeJT,success,successJT,reasonFailure,reasonDefence,reasonAttackError,cleanUpNumber,cleanUpPerCent,cleanUpStart,cleanUpEnd,cleanUpTime,X,X.1,X.2,X.3,X.4,condition,team,location
1,1,1,0.08,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
2,1,2,0.37,1,2,2,0,0,3,2,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
3,1,3,1.06,2,4,4,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
4,1,4,1.28,3,5,4,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
5,1,5,1.57,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
6,1,6,2.22,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
7,1,7,2.47,1,1,1,0,0,2,,3,5,62.5,8.39,9.32,0.52,,,,4,1.1. Successful defense ,2,SDW,Shandong
8,1,8,3.05,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,5,1.3. Both successful defense and error in attack,2,SDW,Shandong
9,1,9,3.28,1,3,3,0,0,1,2,,5,62.5,8.39,9.32,0.52,,,,6,1.2. Error in attack,2,SDW,Shandong
10,1,10,3.52,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
11,1,11,4.17,3,5,5,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
12,1,12,4.41,1,1,1,0,0,2,,1,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
13,1,13,5.06,1,1,2,0,0,2,,1,5,62.5,8.39,9.32,0.52,,Immediate dropped ball failure,,,,2,SDW,Shandong
14,1,14,5.17,3,5,5,1,0,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
15,1,15,5.44,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
16,1,16,6.08,1,3,3,0,0,1,2,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
17,1,17,6.28,4,6,6,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
