Survey Item,Beep Test,,Match Sim 1,,Match Sim 2,
,Mean,SD,Mean,SD,Mean,SD
,,,,,,
Flow average,,,,,,
Overall ,5.24,0.65,4.957,0.57,5.296,0.88
Junior,5.31,0.74,4.825,0.42,5.25,0.84
Senior,5.11,0.48,5.11,716,5.33,0.97
,,,,,,
Evaluation from others,,,,,,
Overall ,5.25,1.35,3.15,1.95,3.67,2.19
Junior,5.08,1.04,2.71,1.97,3,2.24
Senior,5.6,1.98,3.66,1.97,4.25,2.12
,,,,,,
Self performance,,,,,,
Overall ,4.32,1.74,1.92,1.32,2.93,2.22
Junior,4.2,1.5,1.29,0.49,2.71,2.21
Senior,4.55,2.39,2.67,1.63,3.13,2.36
